-	t.	-	conjunction	-	-	-	-	abbr	-
-	A.A.A.	-	none	-	-	-	-	abbr	-
-	Dr.	-	none	-	-	-	-	abbr	-
-	Inc.	-	none	-	-	-	-	abbr|foreign	-
-	Joh.	-	none	-	-	-	-	abbr	-
-	Ltd.	-	none	-	-	-	-	abbr|foreign	-
-	Luuk.	-	none	-	-	-	-	abbr	-
-	Mark.	-	none	-	-	-	-	abbr	-
-	Matt.	-	none	-	-	-	-	abbr	-
-	Moos.	-	none	-	-	-	-	abbr	-
-	Mr.	-	none	-	-	-	-	abbr	-
-	Mrs.	-	none	-	-	-	-	abbr	-
-	Ms.	-	none	-	-	-	-	abbr	-
-	P.S.	-	none	-	-	-	-	abbr	-
-	R.S.V.P.	-	none	-	-	-	-	abbr	-
-	Room.	-	none	-	-	-	-	abbr	-
-	Sananl.	-	none	-	-	-	-	abbr	-
-	U.S.	-	none	-	-	-	-	abbr|foreign	-
-	al.	-	none	-	-	-	-	abbr|foreign	-
-	al.	-	none	-	-	-	-	abbr	-
-	alk.	-	none	-	-	-	-	abbr	-
-	alkup.	-	none	-	-	-	-	abbr	-
-	ao.	-	none	-	-	-	-	abbr	-
-	arab.	-	none	-	-	-	-	abbr	-
-	as.	-	none	-	-	-	-	abbr	-
-	biol.	-	none	-	-	-	-	abbr	-
-	d.o.o.	-	none	-	-	-	-	abbr|foreign	-
-	e.g.	-	none	-	-	-	-	abbr|foreign	-
-	eKr.	-	none	-	-	-	-	abbr	-
-	eaa.	-	none	-	-	-	-	abbr	-
-	ed.	-	none	-	-	-	-	abbr	-
-	em.	-	none	-	-	-	-	abbr	-
-	engl.	-	none	-	-	-	-	abbr	-
-	ent.	-	none	-	-	-	-	abbr	-
-	esim.	-	none	-	-	-	-	abbr	-
-	esp.	-	none	-	-	-	-	abbr	-
-	etc.	-	none	-	-	-	-	abbr|foreign	-
-	evp	-	none	-	-	-	-	abbr	-
-	evp.	-	none	-	-	-	-	abbr	-
-	feat.	-	none	-	-	-	-	abbr	-
-	harv.	-	none	-	-	-	-	abbr	-
-	hepr.	-	none	-	-	-	-	abbr	-
-	hist.	-	none	-	-	-	-	abbr	-
-	hl.	-	none	-	-	-	-	abbr|foreign	-
-	huom.	-	none	-	-	-	-	abbr	-
-	ital.	-	none	-	-	-	-	abbr	-
-	jKr.	-	none	-	-	-	-	abbr	-
-	jaa.	-	none	-	-	-	-	abbr	-
-	jap.	-	none	-	-	-	-	abbr	-
-	jne.	-	none	-	-	-	-	abbr	-
-	joht.	-	none	-	-	-	-	abbr	-
-	k.	-	none	-	-	-	-	abbr	-
-	kd	-	none	-	-	-	-	abbr	-
-	ke	-	none	-	-	-	-	abbr	-
-	kesk	-	none	-	-	-	-	abbr	-
-	kesk.	-	none	-	-	-	-	abbr	-
-	kft.	-	none	-	-	-	-	abbr	-
-	kiin.	-	none	-	-	-	-	abbr	-
-	kirj.	-	none	-	-	-	-	abbr	-
-	kk	-	none	-	-	-	-	abbr	-
-	klo	-	none	-	-	-	-	abbr	-
-	ko.	-	none	-	-	-	-	abbr	-
-	kok	-	none	-	-	-	-	abbr	-
-	kpl	-	none	-	-	-	-	abbr	-
-	kreik.	-	none	-	-	-	-	abbr	-
-	kreikk.	-	none	-	-	-	-	abbr	-
-	ks.	-	none	-	-	-	-	abbr	-
-	kts.	-	none	-	-	-	-	abbr	-
-	la	-	none	-	-	-	-	abbr	-
-	lat.	-	none	-	-	-	-	abbr	-
-	lääk.	-	none	-	-	-	-	abbr	-
-	m.	-	none	-	-	-	-	abbr	-
-	ma	-	none	-	-	-	-	abbr	-
-	mat.	-	none	-	-	-	-	abbr	-
-	milj.	-	none	-	-	-	-	abbr	-
-	ml.	-	none	-	-	-	-	abbr	-
