-	Alias	-	proper	39	-	-	-	-	-
-	CS	-	proper	10B	-	-	-	-	-
-	Castlevania	-	proper	12	-	-	-	-	-
-	Catan	-	proper	5	-	-	-	-	-
-	Dota	-	proper	10	-	-	-	-	-
-	Fortnite	-	proper	8	-	-	-	-	-
-	GTA	-	proper	18B	-	-	-	-	-
-	Kimble	-	proper	8	-	-	-	-	-
-	League of Legends	-	proper	5	-	-	-	-	-
-	LoL	-	proper	5B	-	-	-	-	-
-	Mario	-	proper	3	-	-	-	-	-
-	Mario Kart	-	proper	5	-	-	-	-	-
-	Megami Tensei	-	proper	18	-	-	-	-	-
-	Metroid	-	proper	5	-	-	-	-	-
-	Minecraft	-	proper	5	-	-	-	-	-
-	Monopoly	-	proper	1	-	-	-	-	-
-	Mortal Kombat	-	proper	5	-	-	-	-	-
-	Overwatch	-	proper	5	-	-	-	-	-
-	PUBG	-	proper	18B	-	-	-	-	-
-	Persona	-	proper	10	-	-	-	-	-
-	Phantasy Star	-	proper	5	-	-	-	-	-
-	Pokemon	-	proper	6	-	-	-	-	-
-	Pokémon	-	proper	6	-	-	-	-	-
-	Portal	-	proper	6	-	-	-	-	-
-	Scrabble	-	proper	8	-	-	-	-	-
-	Shin Megami Tensei	-	proper	18	-	-	-	-	-
-	Sims	-	proper	5	-	-	-	-	-
-	Skyrim	-	proper	5	-	front|back	-	-	-
-	Sonic	-	proper	5	-	-	-	-	-
-	Super Mario	-	proper	3	-	-	-	-	-
-	Super Mario Bros.	-	proper	5	-	-	-	-	-
-	Tekken	-	proper	6	-	-	-	-	-
-	Terraria	-	proper	12	-	-	-	-	-
-	Tetris	-	proper	39	-	-	-	-	-
-	WarCraft	-	proper	5	-	-	-	-	-
-	WoW	-	proper	18B|6B	-	-	-	-	-
-	Xenoblade	-	proper	8	-	-	-	-	-
-	Zelda	-	proper	9	-	-	-	-	-
-	Counter-Strike	-	proper	8	-	front|back	-	-	-
-	Half-Life	-	proper	8	-	front|back	-	-	-
-	Pac-Man	-	proper	5	-	-	-	-	-
