-	Amazing Grace	-	proper	8	-	front|back	-	-	-
-	Ave Maria	-	proper	12	-	-	-	-	-
-	Believe	-	proper	8	-	-	-	-	-
-	Cha cha cha	-	proper	21	-	-	-	-	-
-	Dancing Queen	-	proper	5	-	-	-	-	-
-	Despacito	-	proper	1	-	-	-	-	-
-	Euphoria	-	proper	12	-	-	-	-	-
-	Fernando	-	proper	1	-	-	-	-	-
-	Finlandia	-	proper	12	-	-	-	-	-
-	Für Elise	-	proper	8	-	-	-	-	-
-	Happy	-	proper	1	-	-	-	-	-
-	Havana	-	proper	13	-	-	-	-	-
-	Jalousie	-	proper	8|21	-	-	-	-	-
-	La Cumparsita	-	proper	9	-	-	-	-	-
-	Maamme	-	proper	!	-	-	-	-	-
-	Macarena	-	proper	9	-	-	-	-	-
-	Paranoid	-	proper	5	-	-	-	-	-
-	Requiem	-	proper	5	-	-	-	-	-
-	Shape of You	-	proper	21	-	-	-	-	-
-	Vogue	-	proper	8	-	-	-	-	-
-	Volare	-	proper	8	-	-	-	-	-
-	Waterloo	-	proper	?20|18	-	-	-	-	-
-	Work	-	proper	5	-	-	-	-	-
-	Y.M.C.A.	-	proper	18B	-	-	a	-	-
-	Yesterday	-	proper	21	-	-	i|y	-	-
-	Maamme-laulu	-	proper	1	-	-	-	-	-
-	Kissan|polkka	-	proper	10	kk:k	-	-	-	-
-	Kuutamo|sonaatti	-	proper	5	tt:t	-	-	-	-
-	Suvi|virsi	-	proper	28	rt:rr	-	-	-	-
-	Musta|sukkaisuus|tango	-	proper	1	-	-	-	-	-
