-	Aida	-	proper	9	-	-	-	-	-
-	Carmen	-	proper	6	-	-	-	-	-
-	Don Giovanni	-	proper	5	-	-	-	-	-
-	Elektra	-	proper	9	-	-	-	-	-
-	Falstaff	-	proper	5	-	-	-	-	-
-	Faust	-	proper	5	-	-	-	-	-
-	La Traviata	-	proper	9	-	-	-	-	-
-	Lakmé	-	proper	21	-	-	-	-	-
-	Lohengrin	-	proper	5	-	-	-	-	-
-	Macbeth	-	proper	5	-	-	-	-	-
-	Manon	-	proper	6	-	-	-	-	-
-	Nabucco	-	proper	1	-	-	-	-	-
-	Norma	-	proper	10	-	-	-	-	-
-	Orfeo	-	proper	3	-	-	-	-	-
-	Otello	-	proper	1	-	-	-	-	-
-	Pagliacci	-	proper	5	-	-	-	-	-
-	Pajatso	-	proper	2	-	-	-	-	-
-	Parsifal	-	proper	6	-	-	-	-	-
-	Rigoletto	-	proper	1	-	-	-	-	-
-	Ring	-	proper	5	-	-	-	-	-
-	Rusalka	-	proper	9	-	-	-	-	-
-	Salome	-	proper	8	-	-	-	-	-
-	Siegfried	-	proper	5	-	-	-	-	-
-	Tosca	-	proper	10	-	-	-	-	-
-	Turandot	-	proper	5	-	-	-	-	-
-	Valkyyria	-	proper	12	-	-	-	-	-
-	Kerjäläis|ooppera	-	proper	12	-	-	-	-	-
-	Reinin|kulta	-	proper	10	lt:ll	-	-	-	-
-	Taika|huilu	-	proper	1	-	-	-	-	-
-	Naamio|huvit	-	proper-pl	5	-	-	-	-	-
