-	Amazing Race	-	proper	8	-	-	-	-	-
-	Big Brother	-	proper	6	-	-	-	-	-
-	Bonanza	-	proper	9|10	-	-	-	-	-
-	Breaking Bad	-	proper	5	-	-	-	-	-
-	Bridgerton	-	proper	6	-	-	-	-	-
-	Diili	-	proper	5	-	-	-	-	-
-	Emily in Paris	-	proper	5	-	-	-	-	-
-	Eurovision	-	proper	5	-	-	-	-	-
-	Game of Thrones	-	proper	5	-	-	-	-	-
-	GoT	-	proper	5B|6B	-	-	-	-	-
-	Heartmix	-	proper	5	-	-	-	-	-
-	Hepskukkuu	-	proper	18	-	-	-	-	-
-	Jeopardy	-	proper	1	-	-	-	-	-
-	MOT	-	proper	18B|5B|6B	-	-	-	-	-
-	Masked Singer	-	proper	6	-	-	-	-	-
-	Oz	-	proper	5	-	-	-	-	-
-	Pasila	-	proper	12	-	-	-	-	-
-	Perjantai	-	proper	18	-	-	-	-	-
-	Putous	-	proper	39	-	-	-	-	-
-	Solsidan	-	proper	6	-	-	-	-	-
-	Sopranos	-	proper	5|39	-	-	-	-	-
-	Strömsö	-	proper	21|†1	-	-	-	-	-
-	Syke	-	proper	8	-	-	-	-	-
-	TTK	-	proper	?18B	-	-	-	-	-
-	Temptation Island	-	proper	5	-	-	-	-	-
-	The Voice	-	proper	8	-	-	-	-	-
-	The Voice of Finland	-	proper	5	-	-	-	-	-
-	UMK	-	proper	18B	-	-	-	-	-
-	Wheeler Dealers	-	proper	5	-	-	-	-	-
-	A-studio	-	proper	3	-	-	-	-	-
-	A-talk	-	proper	5	-	-	-	-	-
-	A-teema	-	proper	9	-	-	-	-	-
-	9-1-1	-	proper	31B	-	-	-	-	-
-	Korkea|saari	-	proper	26	-	-	-	-	-
-	Kymppi|tonni	-	proper	5	-	-	-	-	-
-	Napa|kymppi	-	proper	5	pp:p	-	-	-	-
-	Onnen|pyörä	-	proper	10	-	-	-	-	-
-	Sinkku|elämää	-	proper	!	-	-	-	-	-
-	Siskon|peti	-	proper	5	t:d	-	-	-	-
-	Timantti|liiga	-	proper	9	-	-	-	-	-
-	Tulos|ruutu	-	proper	1	t:d	-	-	-	-
-	Urheilu|ruutu	-	proper	1	t:d	-	-	-	-
-	Uutis|extra	-	proper	9	-	-	-	-	-
-	Ilkamat	-	proper-pl	10	-	-	-	-	-
-	Kaunarit	-	proper-pl	6	-	-	-	coll	-
-	Poliisit	-	proper-pl	5	-	-	-	-	-
-	Pulmuset	-	proper-pl	38	-	-	-	-	-
-	Salkkarit	-	proper-pl	6	-	-	-	coll	-
-	Selviytyjät	-	proper-pl	10	-	-	-	-	-
-	Simpsonit	-	proper-pl	6	-	-	-	-	-
-	Tempparit	-	proper-pl	6	-	-	-	-	-
-	Erän|kävijät	-	proper-pl	12	-	-	-	-	-
-	Euro|viisut	-	proper-pl	1	-	-	-	-	-
-	Rinta|mäkeläiset	-	proper-pl	38	-	-	-	-	-
-	Unelma|häät	-	proper-pl	18	-	-	-	-	-
