-	Aladdin	-	proper	5	-	-	-	-	-
-	Cats	-	proper	5	-	-	-	-	-
-	Chicago	-	proper	1	-	-	-	-	-
-	Evita	-	proper	9	-	-	-	-	-
-	Grease	-	proper	8	-	-	-	-	-
-	Hairspray	-	proper	21	-	-	i|y	-	-
-	Hamilton	-	proper	6	-	-	-	-	-
-	Hamlet	-	proper	5	-	-	-	-	-
-	Les Misérables	-	proper	5	-	-	-	-	-
-	Macbeth	-	proper	5	-	-	-	-	-
-	Mamma Mia!	-	proper	5B	-	-	-	-	-
-	Oliver!	-	proper	5B	-	-	-	-	-
-	Othello	-	proper	1	-	-	-	-	-
-	Rent	-	proper	5	-	-	-	-	-
-	Wicked	-	proper	5	-	-	-	-	-
-	Leijona|kuningas	-	proper	41	nk:ng	-	-	-	-
-	Nummi|suutarit	-	proper-pl	6	-	-	-	-	-
