-	Angleterre	-	proper	8	-	-	-	-	-
-	Arnolds	-	proper	5	-	-	-	-	-
-	Bangkok 9	-	proper	10B	-	-	-	-	-
-	Bellevue	-	proper	8	-	-	-	-	-
-	Biáng	-	proper	5	-	-	-	-	-
-	Burger King	-	proper	5	-	-	-	-	-
-	Chico’s	-	proper	5	-	-	-	-	-
-	Coffee House	-	proper	8	-	-	-	-	-
-	DTM	-	proper	10B	-	-	-	-	-
-	Deliberi	-	proper	5	-	-	-	-	-
-	Elite	-	proper	8	-	-	-	-	-
-	Espresso House	-	proper	8	-	-	-	-	-
-	Factory	-	proper	1	-	-	-	-	-
-	Fafa’s	-	proper	5	-	-	-	-	-
-	Friends & Brgrs	-	proper	5	-	-	-	-	-
-	Fuku	-	proper	1	-	-	-	-	-
-	Gateau	-	proper	21	-	-	-	-	-
-	Grotesk	-	proper	5	-	-	-	-	-
-	Hanko Sushi	-	proper	5	-	-	-	-	-
-	Hemingway’s	-	proper	5	-	-	-	-	-
-	Hesburger	-	proper	6	-	-	-	-	-
-	Jungle Juice Bar	-	proper	5	-	-	-	-	-
-	KFC	-	proper	18B	-	-	-	-	-
-	Kappeli	-	proper	6	-	-	-	-	-
-	Kotipizza	-	proper	9	-	-	-	-	-
-	Kung Food Banda	-	proper	9	-	-	-	-	-
-	La Torrefazione	-	proper	8	-	-	-	-	-
-	Luckiefun’s	-	proper	5	-	-	-	-	-
-	Löyly	-	proper	1	-	-	-	-	-
-	McDonald’s	-	proper	5	-	-	-	-	-
-	Momotoko	-	proper	1	-	-	-	-	-
-	More Tea	-	proper	9	-	-	-	-	-
-	Noma	-	proper	10	-	-	-	-	-
-	O’Learys	-	proper	39	-	-	-	-	-
-	Palace	-	proper	8	-	-	-	-	-
-	Pancho Villa	-	proper	9	-	-	-	-	-
-	Picnic	-	proper	5	-	-	-	-	-
-	Pizza Hut	-	proper	5	-	-	-	-	-
-	Rax	-	proper	5	-	-	-	-	-
-	Robert’s Coffee	-	proper	18	-	-	-	-	-
-	Rosso	-	proper	1	-	-	-	-	-
-	Salve	-	proper	8	-	-	-	-	-
-	Savoy	-	proper	21	-	-	i|y	-	-
-	Spaghetteria	-	proper	12	-	-	-	-	-
-	Spice Ice	-	proper	8	-	-	-	-	-
-	Subway	-	proper	21	-	-	-	-	-
-	Sushibar+Wine	-	proper	8	-	-	-	-	-
-	Taco Bell	-	proper	5	-	-	-	-	-
-	Torrefazione	-	proper	8	-	-	-	-	-
-	Vapiano	-	proper	1	-	-	-	-	-
-	Vltava	-	proper	9	-	-	-	-	-
-	William K.	-	proper	18B	-	-	-	-	-
-	Zetor	-	proper	6	-	-	-	-	-
-	Kaivo|huone	-	proper	48	-	-	-	-	-
-	Makaroni|tehdas	-	proper	41	t:d	-	-	-	-
-	Seura|huone	-	proper	48	-	-	-	-	-
-	Thé|huone	-	proper	48	-	-	-	-	-
