-	Andromeda	-	proper	9	-	-	-	-	-
-	Aurinko	-	proper	1	-	-	-	-	-
-	Bespin	-	proper	5	-	-	-	-	-
-	Betelgeuse	-	proper	8	-	-	-	-	-
-	Coruscant	-	proper	5	-	-	-	-	-
-	Dagobah	-	proper	22|5	-	-	-	-	-
-	Endor	-	proper	6	-	-	-	-	-
-	Hoth	-	proper	5	-	-	-	-	-
-	Jupiter	-	proper	6	-	-	-	-	-
-	Maa	-	proper	18	-	-	-	-	-
-	Mars	-	proper	5	-	-	-	-	-
-	Merkurius	-	proper	39	-	-	-	-	-
-	Naboo	-	proper	18	-	-	-	-	-
-	Neptunus	-	proper	39	-	-	-	-	-
-	Orion	-	proper	5	-	-	-	-	-
-	Otava	-	proper	10	-	-	-	-	-
-	Pluto	-	proper	1	-	-	-	-	-
-	Saturnus	-	proper	39	-	-	-	-	-
-	Tatooine	-	proper	8	-	-	-	-	-
-	Tellus	-	proper	39	-	-	-	-	-
-	Theia	-	proper	9	-	-	-	-	-
-	Uranus	-	proper	39	-	-	-	-	-
-	Venus	-	proper	39	-	-	-	-	-
-	Vulkanus	-	proper	39	-	-	-	-	-
-	Linnun|rata	-	proper	9	t:d	-	-	-	-
-	Pyörre|galaksi	-	proper	5	-	-	-	-	-
-	Auringon|kukka|galaksi	-	proper	5	-	-	-	-	-
-	Sauva|spiraali|galaksi	-	proper	5	-	-	-	-	-
-	Plejadit	-	proper-pl	5	-	-	-	-	-
-	Seulaset	-	proper-pl	38	-	-	-	-	-
