-	Ahtiala	-	proper	9	-	-	-	-	-
-	Ahvenisto	-	proper	1	-	-	-	-	-
-	Amuri	-	proper	?6	-	-	-	-	-
-	Asakusa	-	proper	10	-	-	-	-	-
-	Aulanko	-	proper	1	-	-	-	-	-
-	Aviapolis	-	proper	39	-	-	-	-	-
-	Bromma	-	proper	10	-	-	-	-	-
-	Bronx	-	proper	5	-	-	-	-	-
-	Brooklyn	-	proper	5	-	-	-	-	-
-	Buda	-	proper	10	-	-	-	-	-
-	Chelsea	-	proper	12	-	-	-	-	-
-	Eira	-	proper	9	-	-	-	-	-
-	Ginza	-	proper	9	-	-	-	-	-
-	Hagis	-	proper	39	-	-	-	slang	-
-	Hakis	-	proper	39	-	-	-	slang	-
-	Hakunila	-	proper	12	-	-	-	-	-
-	Hervanta	-	proper	9	nt:nn	-	-	-	-
-	Hollywood	-	proper	5	-	-	-	-	-
-	Holmenkollen	-	proper	6	-	-	-	-	-
-	Kakola	-	proper	12	-	-	-	-	-
-	Kaleva	-	proper	13	-	-	-	-	-
-	Kallio	-	proper	3	-	-	-	-	-
-	Kamppi	-	proper	5	pp:p	-	-	-	-
-	Karhula	-	proper	12	-	-	-	-	-
-	Keimola	-	proper	12	-	-	-	-	-
-	Keituri	-	proper	6	-	-	-	-	-
-	Keljo	-	proper	1	-	-	-	-	-
-	Kivistö	-	proper	1	-	-	-	-	-
-	Kluuvi	-	proper	5	-	-	-	-	-
-	Kontula	-	proper	12	-	-	-	-	-
-	Koskela	-	proper	13	-	-	-	-	-
-	Kungsholmen	-	proper	6	-	-	-	-	-
-	Kuninkaala	-	proper	9	-	-	-	-	-
-	Kupittaa	-	proper	18	-	-	-	-	-
-	Kuusaa	-	proper	18	-	-	-	-	-
-	Laakso	-	proper	1	-	-	-	-	-
-	Laune	-	proper	8	-	-	-	-	-
-	Lauste	-	proper	8	-	-	-	-	-
-	Malmi	-	proper	5	-	-	-	-	-
-	Manhattan	-	proper	6	-	-	-	-	-
-	Mankkaa	-	proper	18	-	-	-	-	-
-	Metsola	-	proper	12	-	-	-	-	-
-	Mikkola	-	proper	12	-	-	-	-	-
-	Moikoinen	-	proper	38	-	-	-	-	-
-	Mussalo	-	proper	2	-	-	-	-	-
-	Nöykkiö	-	proper	3	-	-	-	-	-
-	Olari	-	proper	6	-	-	-	-	-
-	Pakila	-	proper	13	-	-	-	-	-
-	Pansio	-	proper	3	-	-	-	-	-
-	Pasila	-	proper	12	-	-	-	-	-
-	Perno	-	proper	1	-	-	-	-	-
-	Pest	-	proper	5	-	-	-	-	-
-	Pihlava	-	proper	10	-	-	-	-	-
-	Pispala	-	proper	12	-	-	-	-	-
-	Porkkala	-	proper	12	-	-	-	-	-
-	Puistola	-	proper	10	-	-	-	-	-
-	Queens	-	proper	5	-	-	-	-	-
-	Raunistula	-	proper	12	-	-	-	-	-
-	Rinkeby	-	proper	21|†1	-	-	-	-	-
-	Seutula	-	proper	12	-	-	-	-	-
-	Skatta	-	proper	9	tt:t	-	-	slang	-
-	Soho	-	proper	1	-	-	-	-	-
-	Suutarila	-	proper	12	-	-	-	-	-
-	Södermalm	-	proper	5	-	-	-	-	-
-	Sörkkä	-	proper	10	kk:k	-	-	-	-
-	Sörnäinen	-	proper	38	-	-	-	-	-
-	Tapanila	-	proper	12	-	-	-	-	-
-	Tapiola	-	proper	12	-	-	-	-	-
-	Tensta	-	proper	9	-	-	-	-	-
-	Tikka	-	proper	9	kk:k	-	-	-	-
-	Tikkurila	-	proper	12	-	-	-	-	-
-	Tohloppi	-	proper	5	pp:p	-	-	-	-
-	Toppila	-	proper	13	-	-	-	-	-
-	Travemünde	-	proper	8	-	-	-	-	-
-	Töölö	-	proper	1	-	-	-	-	-
-	Ueno	-	proper	1	-	-	-	-	-
-	Vaarala	-	proper	12	-	-	-	-	-
-	Valko	-	proper	1	-	-	-	-	-
-	Vallila	-	proper	13	-	-	-	-	-
-	Veisu	-	proper	1	-	-	-	-	-
-	Viertola	-	proper	10	-	-	-	-	-
-	Viikki	-	proper	5	kk:k	-	-	-	-
-	Viinikka	-	proper	14	kk:k	-	-	-	-
-	Voikkaa	-	proper	18	-	-	-	-	-
-	Wimbledon	-	proper	5	-	-	-	-	-
-	Etelä-Haaga	-	proper	9	-	-	-	-	-
-	Länsi-Pakila	-	proper	13	-	-	-	-	-
-	Länsi-Pasila	-	proper	13	-	-	-	-	-
-	Mäki-Matti	-	proper	5	tt:t	-	-	-	-
-	Pohjois-Haaga	-	proper	9	-	-	-	-	-
-	Taka-Töölö	-	proper	1	-	-	-	-	-
-	Haka|niemi	-	proper	25	-	-	-	-	-
-	Hertto|niemi	-	proper	25	-	-	-	-	-
-	Hiekka|harju	-	proper	1	-	-	-	-	-
-	Jätkä|saari	-	proper	26	-	-	-	-	-
-	Kaisa|niemi	-	proper	25	-	-	-	-	-
-	Kannel|mäki	-	proper	7	k:	-	-	-	-
-	Kataja|nokka	-	proper	10	kk:k	-	-	-	-
-	Kauka|järvi	-	proper	7	-	-	-	-	-
-	Kauk|lahti	-	proper	7	t:d	-	-	-	-
-	Keila|niemi	-	proper	25	-	-	-	-	-
-	Keljon|kangas	-	proper	41	nk:ng	-	-	-	-
-	Koivu|saari	-	proper	26	-	-	-	-	-
-	Korte|pohja	-	proper	10	-	-	-	-	-
-	Kruunun|haka	-	proper	9	k:	-	-	-	-
-	Kulo|saari	-	proper	26	-	-	-	-	-
-	Kuusi|saari	-	proper	26	-	-	-	-	-
-	Kypärä|mäki	-	proper	7	k:	-	-	-	-
-	Laaja|lahti	-	proper	7	t:d	-	-	-	-
-	Laaja|salo	-	proper	1	-	-	-	-	-
