-	Adygeia	-	proper	12	-	-	-	-	-
-	Alabama	-	proper	9	-	-	-	-	-
-	Alaska	-	proper	9	-	-	-	-	-
-	Altai	-	proper	18	-	-	-	-	-
-	Arizona	-	proper	10	-	-	-	-	-
-	Arkansas	-	proper	5	-	-	-	-	-
-	Baijeri	-	proper	6	-	-	-	-	-
-	Baškortostan	-	proper	6	-	-	-	-	-
-	Berliini	-	proper	6	-	-	-	-	-
-	Brandenburg	-	proper	5	-	-	-	-	-
-	Bremen	-	proper	6	-	-	-	-	-
-	Burjatia	-	proper	12	-	-	-	-	-
-	Colorado	-	proper	1	-	-	-	-	-
-	Connecticut	-	proper	5	-	-	-	-	-
-	Dagestan	-	proper	6	-	-	-	-	-
-	Delaware	-	proper	8	-	-	-	-	-
-	District of Columbia	-	proper	12	-	-	-	-	-
-	Florida	-	proper	13	-	-	-	-	-
-	Georgia	-	proper	12	-	-	-	-	-
-	Hakassia	-	proper	12	-	-	-	-	-
-	Hampuri	-	proper	6	-	-	-	-	-
-	Havaiji	-	proper	5	-	-	-	-	-
-	Hessen	-	proper	6	-	-	-	-	-
-	Idaho	-	proper	2	-	-	-	-	-
-	Illinois	-	proper	5|22	-	-	-	-	-
-	Indiana	-	proper	9	-	-	-	-	-
-	Ingušia	-	proper	12	-	-	-	-	-
-	Iowa	-	proper	10	-	-	-	-	-
-	Jakutia	-	proper	12	-	-	-	-	-
-	Kalifornia	-	proper	12	-	-	-	-	-
-	Kalmukia	-	proper	12	-	-	-	-	-
-	Kansas	-	proper	5	-	-	-	-	-
-	Karjala	-	proper	12	-	-	-	-	-
-	Kentucky	-	proper	1	-	-	-	-	-
-	Komi	-	proper	5	-	-	-	-	-
-	Louisiana	-	proper	9	-	-	-	-	-
-	Madeira	-	proper	13	-	-	-	-	-
-	Maine	-	proper	8	-	-	-	-	-
-	Mari	-	proper	5	-	-	-	-	-
-	Maryland	-	proper	5	-	-	-	-	-
-	Massachusetts	-	proper	5	-	-	-	-	-
-	Michigan	-	proper	6	-	-	-	-	-
-	Minnesota	-	proper	10	-	-	-	-	-
-	Mississippi	-	proper	5	pp:p	-	-	-	-
-	Mississippi	-	proper	5	-	-	-	-	-
-	Missouri	-	proper	5	-	-	-	-	-
-	Montana	-	proper	9	-	-	-	-	-
-	Mordva	-	proper	10	-	-	-	-	-
-	Nebraska	-	proper	9	-	-	-	-	-
-	Nevada	-	proper	9	-	-	-	-	-
-	New Hampshire	-	proper	8	-	-	-	-	-
-	New Jersey	-	proper	21	-	-	i|y	-	-
-	New Mexico	-	proper	1	-	-	-	-	-
-	New York	-	proper	5	-	-	-	-	-
-	Ohio	-	proper	3	-	-	-	-	-
-	Oklahoma	-	proper	10	-	-	-	-	-
-	Oregon	-	proper	6	-	-	-	-	-
-	Pennsylvania	-	proper	12	-	-	-	-	-
-	Preussi	-	proper	5	-	-	-	-	-
-	Rhode Island	-	proper	5	-	-	-	-	-
-	Saarland	-	proper	5	-	-	-	-	-
-	Sabah	-	proper	5	-	-	-	-	-
-	Saha	-	proper	9	-	-	-	-	-
-	Saksi	-	proper	5	-	-	-	-	-
-	Sarawak	-	proper	5	-	-	-	-	-
-	Tatarstan	-	proper	6	-	-	-	-	-
-	Tennessee	-	proper	18	-	-	-	-	-
-	Texas	-	proper	5	-	-	-	-	-
-	Thüringen	-	proper	6	-	-	-	-	-
-	Tuva	-	proper	10	-	-	-	-	-
-	Tšetšenia	-	proper	12	-	-	-	-	-
-	Tšuvassia	-	proper	12	-	-	-	-	-
-	Udmurtia	-	proper	12	-	-	-	-	-
-	Utah	-	proper	5|22	-	-	a	-	-
-	Vermont	-	proper	5	-	-	-	-	-
-	Virginia	-	proper	12	-	-	-	-	-
-	Vojvodina	-	proper	9	-	-	-	-	-
-	Washington	-	proper	6	-	-	-	-	-
-	Wisconsin	-	proper	5	-	-	-	-	-
-	Wyoming	-	proper	5	-	-	-	-	-
-	Ala-Saksi	-	proper	5	-	-	-	-	-
-	Baden-Württemberg	-	proper	5	-	-	-	-	-
-	Etelä-Carolina	-	proper	9	-	-	-	-	-
-	Etelä-Dakota	-	proper	9	-	-	-	-	-
-	Kabardi-Balkaria	-	proper	12	-	-	-	-	-
-	Karatšai-Tšerkessia	-	proper	12	-	-	-	-	-
-	Länsi-Virginia	-	proper	12	-	-	-	-	-
-	Nordrhein-Westfalen	-	proper	6	-	-	-	-	-
-	Pohjois-Carolina	-	proper	9	-	-	-	-	-
-	Pohjois-Dakota	-	proper	9	-	-	-	-	-
-	Rheinland-Pfalz	-	proper	5	-	-	-	-	-
-	Saksi-Anhalt	-	proper	5	-	-	-	-	-
-	Schleswig-Holstein	-	proper	5	-	-	-	-	-
-	Mecklenburg-Etu-Pommeri	-	proper	6	-	-	-	-	-
-	Pohjois-Ossetia-Alania	-	proper	12	-	-	-	-	-
-	Serbi|tasa|valta	-	proper	9	lt:ll	-	-	-	-
