-	Aarhus	-	proper	5	-	-	-	-	-
-	Abidjan	-	proper	5	-	-	-	-	-
-	Abu Dhabi	-	proper	5	-	-	-	-	-
-	Abuja	-	proper	10	-	-	-	-	-
-	Accra	-	proper	9	-	-	-	-	-
-	Addis Abeba	-	proper	10|12	-	-	-	-	-
-	Addison	-	proper	6	-	-	-	-	-
-	Ahlainen	-	proper	38-pl	-	-	-	-	-
-	Aitoo	-	proper	17	-	-	-	-	-
-	Akaa	-	proper	17	-	-	-	-	-
-	Akaba	-	proper	9	-	-	-	-	-
-	Akmola	-	proper	12|10	-	-	-	-	-
-	Al Riyad	-	proper	5	-	-	-	-	-
-	Alastaro	-	proper	2	-	-	-	-	-
-	Alattio	-	proper	3	-	-	-	-	-
-	Alavus	-	proper	40	-	-	-	-	-
-	Aleksandria	-	proper	12	-	-	-	-	-
-	Alexandria	-	proper	12	-	-	-	-	-
-	Alger	-	proper	6	-	-	-	-	-
-	Alicante	-	proper	8	-	-	-	-	-
-	Almaty	-	proper	1	-	-	-	-	-
-	Alta	-	proper	9	-	-	-	-	-
-	Amherst	-	proper	5	-	-	-	-	-
-	Amman	-	proper	6	-	-	-	-	-
-	Amsterdam	-	proper	5	-	-	-	-	-
-	Anaheim	-	proper	5	-	-	-	-	-
-	Andorra la Vella	-	proper	9	-	-	-	-	-
-	Angkor	-	proper	6	-	-	-	-	-
-	Anianpelto	-	proper	1	-	-	-	-	-
-	Anjala	-	proper	12	-	-	-	-	-
-	Ankara	-	proper	10|12	-	-	-	-	-
-	Antakya	-	proper	12	-	-	-	-	-
-	Antananarivo	-	proper	2	-	-	-	-	-
-	Antiokia	-	proper	12	-	-	-	-	-
-	Antrea	-	proper	12	-	-	-	-	-
-	Anttola	-	proper	12	-	-	-	-	-
-	Antwerpen	-	proper	6	-	-	-	-	-
-	Apia	-	proper	12	-	-	-	-	-
-	Aqmola	-	proper	12|10	-	-	-	-	-
-	Arkangeli	-	proper	6	-	-	-	-	-
-	Arvaja	-	proper	9	-	-	-	-	-
-	Asikkala	-	proper	12	-	-	-	-	-
-	Askainen	-	proper	38-pl	-	-	-	-	-
-	Askola	-	proper	12	-	-	-	-	-
-	Asmara	-	proper	12	-	-	-	-	-
-	Assur	-	proper	5	-	-	-	-	-
-	Astana	-	proper	12	-	-	-	-	-
-	Asunción	-	proper	5	-	-	-	-	-
-	Ateena	-	proper	13	-	-	-	-	-
-	Atlanta	-	proper	10	-	-	-	-	-
-	Auckland	-	proper	5	-	-	-	-	-
-	Augsburg	-	proper	5	-	-	-	-	-
-	Aunus	-	proper	39	-	-	-	-	-
-	Aura	-	proper	9	-	-	-	-	-
-	Austin	-	proper	5	-	-	-	-	-
-	Avignon	-	proper	5	-	-	-	-	-
-	Ašgabat	-	proper	5	-	-	-	-	-
-	Ašhabad	-	proper	5	-	-	-	-	-
-	Babylon	-	proper	6	-	-	-	-	-
-	Baden	-	proper	6	-	-	-	-	-
-	Bagdad	-	proper	5	-	-	-	-	-
-	Baku	-	proper	1	-	-	-	-	-
-	Baltimore	-	proper	8	-	-	-	-	-
-	Bamako	-	proper	1	-	-	-	-	-
-	Bandar Seri Begawan	-	proper	?6	-	-	-	-	-
-	Bangalore	-	proper	8	-	-	-	-	-
-	Bangkok	-	proper	5	-	-	-	-	-
-	Bangui	-	proper	18	-	-	-	-	-
-	Banjul	-	proper	5	-	-	-	-	-
-	Baoding	-	proper	5	-	-	-	-	-
-	Barcelona	-	proper	10	-	-	-	-	-
-	Bari	-	proper	5	-	-	-	-	-
-	Barrow	-	proper	22	-	-	-	-	-
-	Basel	-	proper	6	-	-	-	-	-
-	Basra	-	proper	9	-	-	-	-	-
-	Basseterre	-	proper	8	-	front|back	-	-	-
-	Beetlehem	-	proper	5	-	-	-	-	-
-	Beijing	-	proper	5	-	-	-	-	-
-	Beirut	-	proper	5	-	-	-	-	-
-	Belfast	-	proper	5	-	-	-	-	-
-	Belgrad	-	proper	5	-	-	-	-	-
-	Belmopan	-	proper	5	-	-	-	-	-
-	Belo Horizonte	-	proper	8	-	-	-	-	-
-	Benares	-	proper	39	-	-	-	-	-
-	Bergen	-	proper	6	-	-	-	-	-
-	Bergö	-	proper	21|†1	-	-	-	-	-
-	Berkeley	-	proper	21	-	-	i|y	-	-
-	Berliini	-	proper	5	-	-	-	-	-
-	Bern	-	proper	5	-	-	-	-	-
-	Besançon	-	proper	5	-	-	-	-	-
-	Betlehem	-	proper	5	-	-	-	-	-
-	Bielefeld	-	proper	5	-	-	-	-	-
-	Bilbao	-	proper	2	-	-	-	-	-
-	Birka	-	proper	9	-	-	-	-	-
-	Birmingham	-	proper	5	-	-	-	-	-
-	Bissau	-	proper	21	-	-	-	-	-
-	Biškek	-	proper	5	-	-	-	-	-
-	Björköby	-	proper	21|†1	-	-	-	-	-
-	Blackpool	-	proper	5	-	-	-	-	-
-	Bloemfontein	-	proper	5	-	-	-	-	-
-	Boden	-	proper	6	-	-	-	-	-
-	Bogota	-	proper	10|12	-	-	-	-	-
-	Bogotá	-	proper	1	-	-	-	-	-
-	Bollnäs	-	proper	39	-	-	-	-	-
-	Bologna	-	proper	10	-	-	-	-	-
-	Bombay	-	proper	21	-	-	i|y	-	-
-	Bonn	-	proper	5	-	-	-	-	-
-	Bordeaux	-	proper	22	-	-	-	-	-
-	Borlänge	-	proper	8	-	-	-	-	-
-	Borås	-	proper	5	-	-	-	-	-
-	Boston	-	proper	6	-	-	-	-	-
-	Bradford	-	proper	5	-	-	-	-	-
-	Brasília	-	proper	12	-	-	-	-	-
-	Bratislava	-	proper	12	-	-	-	-	-
-	Brazzaville	-	proper	8	-	front|back	-	-	-
-	Bremen	-	proper	6	-	-	-	-	-
-	Bremerhaven	-	proper	6	-	-	-	-	-
-	Brest	-	proper	5	-	-	-	-	-
-	Bridgetown	-	proper	5	-	-	-	-	-
-	Brighton	-	proper	6	-	-	-	-	-
-	Brisbane	-	proper	8	-	-	-	-	-
-	Bristol	-	proper	6	-	-	-	-	-
-	Brno	-	proper	21	-	-	-	-	-
-	Bromarf	-	proper	5	-	-	-	-	-
-	Bromarv	-	proper	5	-	-	-	-	-
-	Bruges	-	proper	39	-	-	-	-	-
-	Brugge	-	proper	8	-	-	-	-	-
-	Bryssel	-	proper	6	-	-	-	-	-
-	Brysseli	-	proper	5	-	-	-	nstd	-
-	Brändö	-	proper	21|†1	-	-	-	-	-
-	Budapest	-	proper	5	-	front|back	-	-	-
-	Buenos Aires	-	proper	5	-	-	-	-	-
-	Buffalo	-	proper	2	-	-	-	-	-
-	Bukarest	-	proper	5	-	-	-	-	-
-	Bydgoszcz	-	proper	5	-	-	-	-	-
-	Calais	-	proper	22	-	-	-	-	-
-	Calgary	-	proper	1	-	-	-	-	-
-	Cali	-	proper	5	-	-	-	-	-
-	Cambridge	-	proper	8	-	-	-	-	-
-	Campinas	-	proper	5	-	-	-	-	-
-	Canberra	-	proper	9	-	-	-	-	-
-	Cannes	-	proper	5	-	-	-	-	-
-	Caracas	-	proper	5	-	-	-	-	-
-	Cardiff	-	proper	5	-	-	-	-	-
-	Casablanca	-	proper	9	-	-	-	-	-
-	Castries	-	proper	5	-	-	-	-	-
-	Catania	-	proper	12	-	-	-	-	-
-	Cayenne	-	proper	8	-	front|back	-	-	-
-	Celle	-	proper	8	-	-	-	-	-
-	Cetinje	-	proper	8	-	-	-	-	-
-	Chang’an	-	proper	5	-	-	-	-	-
-	Charleston	-	proper	6	-	-	-	-	-
-	Chengdu	-	proper	1	-	-	-	-	-
-	Cherbourg	-	proper	5	-	-	-	-	-
-	Chiba	-	proper	9	-	-	-	-	-
-	Chicago	-	proper	2	-	-	-	-	-
-	Chinatown	-	proper	5	-	-	-	-	-
-	Chișinău	-	proper	21	-	-	-	-	-
-	Chongqing	-	proper	5	-	-	-	-	-
-	Città del Vaticano	-	proper	1	-	-	-	-	-
-	Clarendon	-	proper	5	-	-	-	-	-
-	Clayton	-	proper	6	-	-	-	-	-
-	Cluj	-	proper	5	-	-	-	-	-
-	Cognac	-	proper	5	-	-	-	-	-
-	Colombo	-	proper	1	-	-	-	-	-
-	Columbus	-	proper	39|5	-	-	-	-	-
-	Conakry	-	proper	1	-	-	-	-	-
-	Constanţa	-	proper	10	-	-	-	-	-
-	Conventry	-	proper	1	-	-	-	-	-
-	Cordoba	-	proper	10	-	-	-	-	-
-	Corinto	-	proper	1	-	-	-	-	-
-	Cotonou	-	proper	21	-	-	-	-	-
-	Coventry	-	proper	1	-	-	-	-	-
-	Craiova	-	proper	10	-	-	-	-	-
-	Curitiba	-	proper	9	-	-	-	-	-
-	Cusco	-	proper	1	-	-	-	-	-
-	Cuxhaven	-	proper	6	-	-	-	-	-
-	Cuzco	-	proper	1	-	-	-	-	-
-	Córdoba	-	proper	10	-	-	-	-	-
-	Dacca	-	proper	9	-	-	-	-	-
-	Daejeon	-	proper	5	-	-	-	-	-
-	Dakar	-	proper	6	-	-	-	-	-
-	Dalian	-	proper	5	-	-	-	-	-
-	Dallas	-	proper	5	-	-	-	-	-
-	Damaskos	-	proper	39	-	-	-	-	-
-	Dar es Salaam	-	proper	5	-	-	-	-	-
-	Darmstadt	-	proper	5	-	-	-	-	-
-	Davao	-	proper	1	-	-	-	-	-
-	Davos	-	proper	5	-	-	-	-	-
-	Debrecen	-	proper	5	-	-	-	-	-
-	Degerby	-	proper	21|†1	-	-	-	-	-
-	Delfoi	-	proper	18	-	-	-	-	-
-	Delhi	-	proper	5	-	-	-	-	-
-	Denver	-	proper	6	-	-	-	-	-
-	Derby	-	proper	1	-	-	-	-	-
-	Dessau	-	proper	21	-	-	-	-	-
-	Detroit	-	proper	5	-	-	-	-	-
-	Dhaka	-	proper	9	-	-	-	-	-
-	Dijon	-	proper	5	-	-	-	-	-
-	Dili	-	proper	5	-	-	-	-	-
-	Dnipro	-	proper	1	-	-	-	-	-
-	Dodoma	-	proper	10	-	-	-	-	-
-	Doha	-	proper	10	-	-	-	-	-
-	Donetsk	-	proper	5	-	-	-	-	-
-	Dongguan	-	proper	5	-	-	-	-	-
-	Dortmund	-	proper	5	-	-	-	-	-
-	Dover	-	proper	6	-	-	-	-	-
-	Dragsfjärd	-	proper	5	-	-	-	-	-
-	Dragsvik	-	proper	5	-	-	-	-	-
-	Dresden	-	proper	6	-	-	-	-	-
-	Dubai	-	proper	18	-	-	-	-	-
-	Dublin	-	proper	5	-	-	-	-	-
-	Dubrovnik	-	proper	5	-	-	-	-	-
-	Duisburg	-	proper	5	-	-	-	-	-
-	Dunkerque	-	proper	8|21	-	-	-	-	-
-	Durham	-	proper	5	-	-	-	-	-
-	Dušanbe	-	proper	8	-	-	-	-	-
-	Düsseldorf	-	proper	5	-	-	-	-	-
-	Eckerö	-	proper	21|†1	-	-	-	-	-
-	Edinburgh	-	proper	5	-	-	-	-	-
