-	Aftonbladet	-	proper	5	-	-	-	-	-
-	Bloomberg	-	proper	5	-	-	-	-	-
-	Buzzfeed	-	proper	5	-	-	-	-	-
-	DN	-	proper	10B	-	-	-	-	-
-	Empire	-	proper	8	-	-	-	-	-
-	Euronews	-	proper	5	-	-	-	-	-
-	Expressen	-	proper	6	-	-	-	-	-
-	Guardian	-	proper	5	-	-	-	-	-
-	HS.fi	-	proper	18B	-	-	-	web	-
-	Meduza	-	proper	10|12	-	-	-	-	-
-	Monocle	-	proper	8	-	-	-	-	-
-	NYT	-	proper	18B	-	-	-	-	-
-	People	-	proper	8	-	-	-	-	-
-	Politico	-	proper	2	-	-	-	-	-
-	SvD	-	proper	18B	-	-	-	-	-
-	TMZ	-	proper	10B	-	-	-	-	-
-	Telegraph	-	proper	5	-	-	-	-	-
-	Time	-	proper	8	-	-	-	-	-
-	Variety	-	proper	1	-	-	-	-	-
-	Vice	-	proper	8	-	-	-	-	-
-	WSJ	-	proper	18B	-	-	-	-	-
-	Aamu|lehti	-	proper	7	t:d	-	-	-	-
-	Ilta|lehti	-	proper	7	t:d	-	-	-	-
-	MTV Uutiset	-	proper-pl	5	-	-	-	-	-
-	Ilta-Sanomat	-	proper-pl	5	-	-	-	-	-
Cap	bladet	-	proper	5	-	-	-	-	4.000
Cap	kanalen	-	proper	6	-	-	-	-	4.000
Cap	radio	-	proper	3	-	-	-	-	4.000
Cap	tidning	-	proper	5	-	front|back	-	-	4.000
Cap	zeitung	-	proper	5	-	-	-	-	4.000
