-	ABB	-	proper	18B	-	-	-	-	-
-	ABC	-	proper	18B	-	-	-	-	-
-	AMD	-	proper	18B	-	-	-	-	-
-	Aava	-	proper	9	-	-	-	-	-
-	Abloy	-	proper	21	-	-	-	-	-
-	About You	-	proper	21	-	-	-	-	-
-	Adidas	-	proper	39	-	-	-	-	-
-	Adlibris	-	proper	39	-	-	-	-	-
-	Adobe	-	proper	8	-	-	-	-	-
-	Aiven	-	proper	6	-	-	-	-	-
-	Akateeminen	-	proper	38	-	-	-	-	-
-	Aleksi 13	-	proper	8B	-	-	-	-	-
-	Alibaba	-	proper	9	-	-	-	-	-
-	Alma	-	proper	9	-	-	-	-	-
-	Alphabet	-	proper	5	-	-	-	-	-
-	Alphasense	-	proper	8	-	-	-	-	-
-	Alva	-	proper	9	-	-	-	-	-
-	Amazon	-	proper	6	-	-	-	-	-
-	Amex	-	proper	5	-	-	-	-	-
-	Amica	-	proper	13	-	-	-	-	-
-	Amway	-	proper	21	-	front|back	i|y	-	-
-	Apple	-	proper	8	-	-	-	-	-
-	Applifier	-	proper	5	-	-	-	-	-
-	Astra Zeneca	-	proper	9	-	-	-	-	-
-	AstraZeneca	-	proper	9	-	-	-	-	-
-	Attendo	-	proper	1	-	-	-	-	-
-	Avast	-	proper	5	-	-	-	-	-
-	BMW	-	proper	18B	-	-	-	-	-
-	Barnes & Noble	-	proper	8	-	-	-	-	-
-	Barona	-	proper	10	-	-	-	-	-
-	Bayer	-	proper	?6	-	-	-	-	-
-	Belizia	-	proper	12	-	-	-	-	-
-	Beretta	-	proper	9	tt:t	-	-	-	-
-	Betsson	-	proper	6	-	-	-	-	-
-	Bik Bok	-	proper	5	-	-	-	-	-
-	BikBok	-	proper	5	-	-	-	-	-
-	BioRex	-	proper	5	-	-	-	-	-
-	Biolan	-	proper	5	-	-	-	-	-
-	Bolt	-	proper	5	-	-	-	-	-
-	Bondora	-	proper	10	-	-	-	-	-
-	Bonnier	-	proper	22|5	-	-	-	-	-
-	Booky.fi	-	proper	5B	-	-	-	-	-
-	Boozt	-	proper	5	-	-	-	-	-
-	Bosch	-	proper	5	-	-	-	-	-
-	Bytedance	-	proper	8	-	-	-	-	-
-	CBS	-	proper	10B	-	-	-	-	-
-	CRF Health	-	proper	5	-	-	-	-	-
-	Carlings	-	proper	5	-	-	-	-	-
-	Carlson	-	proper	6	-	-	-	-	-
-	Caruna	-	proper	?13	-	-	-	-	-
-	Change Lingerie	-	proper	8|21	-	-	-	-	-
-	Clarion	-	proper	5	-	-	-	-	-
-	Compass Group	-	proper	5	-	-	-	-	-
-	Cubus	-	proper	39	-	-	-	-	-
-	Cutters	-	proper	5	-	-	-	-	-
-	Daimler	-	proper	6	-	-	-	-	-
-	Destia	-	proper	12	-	-	-	-	-
-	Disney	-	proper	21	-	-	i|y	-	-
-	Dressmann	-	proper	5	-	-	-	-	-
-	EA	-	proper	18B	-	-	-	-	-
-	EMI	-	proper	18B	-	-	-	-	-
-	Elcoteq	-	proper	5	-	-	-	-	-
-	Electrolux	-	proper	5	-	-	-	-	-
-	Elisa	-	proper	13	-	-	-	-	-
-	Elixia	-	proper	12	-	-	-	-	-
-	Ellos	-	proper	39	-	-	-	-	-
-	Epassi	-	proper	5	-	-	-	-	-
-	Esperi	-	proper	6	-	-	-	-	-
-	Esprit	-	proper	5|22	-	-	-	-	-
-	Esso	-	proper	1	-	-	-	-	-
-	Etteplan	-	proper	5	-	-	-	-	-
