-	Aktia	-	proper	12	-	-	-	-	-
-	Allianz	-	proper	5	-	-	-	-	-
-	Citigroup	-	proper	5	-	-	-	-	-
-	Commerzbank	-	proper	5	-	-	-	-	-
-	Danske	-	proper	8	-	-	-	-	-
-	Danske Bank	-	proper	5	-	-	-	-	-
-	EKP	-	proper	?18B	-	-	-	-	-
-	Gazprombank	-	proper	5	-	-	-	-	-
-	HSBC	-	proper	18B	-	-	-	-	-
-	Handelsbanken	-	proper	6	-	-	-	-	-
-	Hansabank	-	proper	5	-	-	-	-	-
-	IMF	-	proper	10B	-	-	-	-	-
-	Ilmarinen	-	proper	38	-	-	-	-	-
-	Kaupthing	-	proper	5	-	-	-	-	-
-	Mandatum	-	proper	5	-	-	-	-	-
-	Nordea	-	proper	10|12	-	-	-	-	-
-	OP	-	proper	18B	-	-	-	-	-
-	Sberbank	-	proper	5	-	-	-	-	-
-	Swedbank	-	proper	5	-	-	-	-	-
-	UBS	-	proper	10B	-	-	-	-	-
-	Varma	-	proper	9	-	-	-	-	-
-	Wachovia	-	proper	12	-	-	-	-	-
-	Ålandsbanken	-	proper	6	-	-	-	-	-
-	OP-Pohjola	-	proper	12	-	-	-	-	-
-	S-Pankki	-	proper	5	kk:k	-	-	-	-
-	Maailman|pankki	-	proper	5	kk:k	-	-	-	-
-	Osuus|pankki	-	proper	5	kk:k	-	-	-	-
-	Säästö|pankki	-	proper	5	kk:k	-	-	-	-
