-	Apetit	-	proper	5	-	-	-	-	-
-	Arla	-	proper	9	-	-	-	-	-
-	Atria	-	proper	12	-	-	-	-	-
-	Barilla	-	proper	9	-	-	-	-	-
-	Cloetta	-	proper	9	-	-	-	-	-
-	Coca Cola	-	proper	10	-	-	-	-	-
-	Danone	-	proper	8	-	-	-	-	-
-	Fazer	-	proper	6	-	-	-	-	-
-	Ferrero	-	proper	2	-	-	-	-	-
-	Findus	-	proper	39|5	-	-	-	-	-
-	Heinz	-	proper	5	-	-	-	-	-
-	Hennessy	-	proper	1	-	-	-	-	-
-	Ingman	-	proper	6	-	-	-	-	-
-	KFC	-	proper	18B	-	-	-	-	-
-	Kellogg’s	-	proper	5	-	-	-	-	-
-	Lavazza	-	proper	9	-	-	-	-	-
-	McDonald’s	-	proper	5	-	-	-	-	-
-	Meira	-	proper	9	-	-	-	-	-
-	Mondelez	-	proper	5	-	-	-	-	-
-	Moët & Chandon	-	proper	6	-	-	-	-	-
-	Mövenpick	-	proper	5	-	-	-	-	-
-	Nestlé	-	proper	21	-	-	-	-	-
-	Paulig	-	proper	5	-	-	-	-	-
-	PepsiCo	-	proper	1B|21	-	-	-	-	-
-	Pouttu	-	proper	1	tt:t	-	-	-	-
-	Raisio	-	proper	3	-	-	-	-	-
-	Saarioinen	-	proper	38	-	-	-	-	-
-	Snellman	-	proper	6	-	-	-	-	-
-	Starbucks	-	proper	5	-	-	-	-	-
-	Subway	-	proper	21	-	-	i|y	-	-
-	Unilever	-	proper	6	-	-	-	-	-
-	Valio	-	proper	3	-	-	-	-	-
-	Wendy’s	-	proper	5	-	-	-	-	-
-	Wotkins	-	proper	5	-	-	-	-	-
-	Juusto|portti	-	proper	5	tt:t	-	-	-	-
-	Linko|suo	-	proper	19	-	-	-	-	-
