-	ABBA	-	proper	18B	-	-	-	-	-
-	AC/DC	-	proper	18B	-	-	-	-	-
-	Aerosmith	-	proper	5	-	-	-	-	-
-	Agents	-	proper	5	-	-	-	-	-
-	Agit Prop	-	proper	5	-	-	-	-	-
-	Amorphis	-	proper	39|5	-	-	-	-	-
-	Apocalyptica	-	proper	13	-	-	-	-	-
-	BTS	-	proper	10B	-	-	-	-	-
-	Backstreet Boys	-	proper	5	-	-	-	-	-
-	Beach Boys	-	proper	5	-	-	-	-	-
-	Beatles	-	proper	5|39	-	-	-	-	-
-	Bee Gees	-	proper	5	-	-	-	-	-
-	Black Eyed Peas	-	proper	5	-	-	-	-	-
-	Bon Jovi	-	proper	5	-	-	-	-	-
-	B’z	-	proper	5	-	-	-	-	-
-	CMX	-	proper	10B	-	-	-	-	-
-	Carpenters	-	proper	5	-	-	-	-	-
-	Chicago	-	proper	1	-	-	-	-	-
-	Children of Bodom	-	proper	5	-	-	-	-	-
-	Coldplay	-	proper	21	-	-	i|y	-	-
-	Def Leppard	-	proper	5	-	-	-	-	-
-	Dingo	-	proper	1	-	-	-	-	-
-	Dire Straits	-	proper	5	-	-	-	-	-
-	Doors	-	proper	5	-	-	-	-	-
-	Eagles	-	proper	5	-	-	-	-	-
-	Earth, Wind & Fire	-	proper	8	-	-	-	-	-
-	Fleetwood Mac	-	proper	5	-	-	-	-	-
-	Foreigner	-	proper	6	-	-	-	-	-
-	Genesis	-	proper	39|5	-	-	-	-	-
-	Gimmel	-	proper	6	-	-	-	-	-
-	Go_A	-	proper	18B	-	-	-	-	-
-	Green Day	-	proper	21	-	-	i|y	-	-
-	Guns N’ Roses	-	proper	5	-	-	-	-	-
-	HIM	-	proper	5B|6B	-	-	-	-	-
-	Haloo Helsinki!	-	proper	5	-	-	-	-	-
-	Hurriganes	-	proper	39|5	-	-	-	-	-
-	Iron Maiden	-	proper	6	-	-	-	-	-
-	JVG	-	proper	18B	-	-	-	-	-
-	Journey	-	proper	21	-	-	i|y	-	-
-	Kalush	-	proper	5	-	-	-	-	-
-	Kaseva	-	proper	10	-	-	-	-	-
-	Kazaky	-	proper	1	-	-	-	-	-
-	Kiss	-	proper	5	-	-	-	-	-
-	Kwan	-	proper	5	-	-	-	-	-
-	Led Zeppelin	-	proper	5	-	-	-	-	-
-	Leevi and the Leavings	-	proper	5	-	-	-	-	-
-	Linkin Park	-	proper	5	-	-	-	-	-
-	Lordi	-	proper	5	-	-	-	-	-
-	Maroon 5	-	proper	27B	-	-	-	-	-
-	Megadeth	-	proper	5	-	-	-	-	-
-	Metallica	-	proper	9	-	-	-	-	-
-	Motörhead	-	proper	5	-	-	-	-	-
-	Movetron	-	proper	6	-	-	-	-	-
-	Måneskin	-	proper	5	-	-	-	-	-
-	Nightwish	-	proper	5	-	-	-	-	-
-	Nirvana	-	proper	12	-	-	-	-	-
-	Nylon Beat	-	proper	5	-	-	-	-	-
-	PMMP	-	proper	18B	-	-	-	-	-
-	Pink Floyd	-	proper	5	-	-	-	-	-
-	Police	-	proper	8	-	-	-	-	-
-	Popeda	-	proper	9	-	-	-	-	-
-	Queen	-	proper	5	-	-	-	-	-
-	Rammstein	-	proper	5	-	-	-	-	-
-	Ramones	-	proper	39|5	-	-	-	-	-
-	Rasmus	-	proper	39|5	-	-	-	-	-
-	Red Hot Chili Peppers	-	proper	5	-	-	-	-	-
-	Rolling Stones	-	proper	5	-	-	-	-	-
-	Sabaton	-	proper	6	-	-	-	-	-
-	Simon & Garfunkel	-	proper	6	-	-	-	-	-
-	Sleepy Sleepers	-	proper	5	-	-	-	-	-
-	Slipknot	-	proper	5	-	-	-	-	-
-	Spice Girls	-	proper	5	-	-	-	-	-
-	Stam1na	-	proper	13	-	-	-	-	-
-	Stratovarius	-	proper	39	-	-	-	-	-
-	Teflon Brothers	-	proper	5	-	-	-	-	-
-	Tiktak	-	proper	5	-	-	-	-	-
-	U2	-	proper	31B	-	-	-	-	-
-	UMO	-	proper	18B|1B	-	-	-	-	-
-	Ultra Bra	-	proper	21	-	-	-	-	-
-	Van Halen	-	proper	6	-	-	-	-	-
-	Värttinä	-	proper	12	-	-	-	-	-
-	Yö	-	proper	19	-	-	-	-	-
-	Zen Café	-	proper	21	-	-	-	-	-
-	22-Pistepirkko	-	proper	2	-	-	-	-	-
-	Agit-Prop	-	proper	5	-	-	-	-	-
-	Aika|kone	-	proper	48	-	-	-	-	-
-	Apu|lanta	-	proper	9	nt:nn	-	-	-	-
-	Elon|kerjuu	-	proper	17	-	-	-	-	-
-	Spaissarit	-	proper-pl	6	-	-	-	coll	-
