-	jallu	-	noun	1	-	-	-	coll	-
-	jekku	-	noun	1	kk:k	-	-	coll	-
-	kokis	-	noun	39	-	-	-	coll	-
-	muumi|limu	-	noun	1	-	-	-	coll	-
-	smurffi|limu	-	noun	1	-	-	-	coll	-
-	7 Up	-	proper	5	-	-	-	-	-
-	7up	-	proper	5	-	-	-	-	-
-	Battery	-	proper	2	-	front|back	-	-	-
-	Bollinger	-	proper	6	-	-	-	-	-
-	ED	-	proper	18B	-	-	-	-	-
-	ES	-	proper	10B	-	-	-	-	-
-	Fanta	-	proper	9	-	-	-	-	-
-	G Fuel	-	proper	5	-	-	-	-	-
-	Grandi	-	proper	5	-	-	-	-	-
-	Jaffa	-	proper	9	-	-	-	-	-
-	Jägermeister	-	proper	6	-	front|back	-	-	-
-	Karhu	-	proper	1	-	-	-	-	-
-	Monster	-	proper	6	-	-	-	-	-
-	Mountain Dew	-	proper	22|†5	-	-	u	-	-
-	Moët	-	proper	5	-	-	-	-	-
-	Novelle	-	proper	8	-	-	-	-	-
-	Pepsi	-	proper	5	-	-	-	-	-
-	Pepsi Max	-	proper	5	-	-	-	-	-
-	Pommac	-	proper	5	-	-	-	-	-
-	Red Bull	-	proper	5	-	-	-	-	-
-	Taittinger	-	proper	6	-	-	-	-	-
-	Trip	-	proper	5	-	-	-	-	-
-	Veuve Clicquot	-	proper	22|†5	-	-	-	-	-
-	Coca-Cola	-	proper	10	-	-	-	-	-
-	Hart-Sport	-	proper	5	-	-	-	-	-
-	Jalo|viina	-	proper	9	-	-	-	-	-
-	Mehu|katti	-	proper	5	tt:t	-	-	-	-
-	Muumi|limu	-	proper	1	-	-	-	coll	-
