-	Cabernet Blanc	-	proper	5	-	-	-	-	-
-	Cabernet Sauvignon	-	proper	6	-	-	-	-	-
-	Chardonnay	-	proper	21	-	-	i|y	-	-
-	Golden Delicious	-	proper	5	-	-	-	-	-
-	Granny Smith	-	proper	5	-	-	-	-	-
-	Grauburgunder	-	proper	6	-	-	-	-	-
-	Merlot	-	proper	22|5	-	-	-	-	-
-	Muscat	-	proper	22|5	-	-	-	-	-
-	Pinot Blanc	-	proper	5	-	-	-	-	-
-	Pinot Grigio	-	proper	3	-	-	-	-	-
-	Pinot Gris	-	proper	22|5	-	-	-	-	-
-	Pinot Meunier	-	proper	22|5	-	-	-	-	-
-	Pinot Noir	-	proper	5	-	-	-	-	-
-	Riesling	-	proper	5	-	-	-	-	-
-	Sauvignon Blanc	-	proper	5	-	-	-	-	-
-	Shiraz	-	proper	5	-	-	-	-	-
-	Spätburgunder	-	proper	6	-	-	-	-	-
-	Syrah	-	proper	22|5	-	-	-	-	-
-	Weissburgunder	-	proper	6	-	-	-	-	-
-	Weißburgunder	-	proper	6	-	-	-	-	-
