-	Alexa	-	proper	9	-	-	-	-	-
-	Amazon Alexa	-	proper	9	-	-	-	-	-
-	Amiga	-	proper	13	-	-	-	-	-
-	C64	-	proper	8B	-	-	-	-	-
-	ChatGPT	-	proper	18B	-	-	-	-	-
-	Commodore 64	-	proper	8B	-	-	-	-	-
-	Dreamcast	-	proper	5	-	-	-	-	-
-	ENIAC	-	proper	18B|5B	-	-	-	-	-
-	Famicom	-	proper	5	-	-	-	-	-
-	GBA	-	proper	18B	-	-	-	-	-
-	GBC	-	proper	18B	-	-	-	-	-
-	Genesis	-	proper	39|†5	-	-	-	-	-
-	Google Stadia	-	proper	12	-	-	-	-	-
-	MacBook	-	proper	5	-	-	-	-	-
-	Mega Drive	-	proper	8	-	-	-	-	-
-	N64	-	proper	8B	-	-	-	-	-
-	NES	-	proper	10B	-	-	-	-	-
-	Nintendo Switch	-	proper	5	-	-	-	-	-
-	PS1	-	proper	31B	-	-	-	-	-
-	PS2	-	proper	31B	-	-	-	-	-
-	PS3	-	proper	8B	-	-	-	-	-
-	PS4	-	proper	8B	-	-	-	-	-
-	PS5	-	proper	27B	-	-	-	-	-
-	PS6	-	proper	27B	-	-	-	-	-
-	PSP	-	proper	18B	-	-	-	-	-
-	PlayStation	-	proper	5	-	-	-	-	-
-	SNES	-	proper	10B	-	-	-	-	-
-	Saturn	-	proper	5	-	-	-	-	-
-	Sony PlayStation	-	proper	5	-	-	-	-	-
-	Stadia	-	proper	12	-	-	-	-	-
-	Super Famicom	-	proper	5	-	-	-	-	-
-	Super Nintendo	-	proper	2	-	-	-	-	-
-	Switch	-	proper	5	-	-	-	-	-
-	Wii	-	proper	17	-	-	-	-	-
-	Wii U	-	proper	18B	-	-	-	-	-
-	X360	-	proper	8B	-	-	-	-	-
-	XONE	-	proper	18B	-	-	-	-	-
-	Xbox	-	proper	5	-	-	-	-	-
-	iMac	-	proper	5	-	-	-	-	-
-	iPad	-	proper	5	-	-	-	-	-
-	iPhone	-	proper	8	-	-	-	-	-
