-	Aptos	-	proper	5|39	-	-	-	-	-
-	Arial	-	proper	5	-	-	-	-	-
-	Baskerville	-	proper	8	-	-	-	-	-
-	Bodoni	-	proper	6	-	-	-	-	-
-	Calibri	-	proper	5	-	-	-	-	-
-	Clarendon	-	proper	6	-	-	-	-	-
-	Comic Sans	-	proper	5	-	-	-	-	-
-	Courier	-	proper	5	-	-	-	-	-
-	Didot	-	proper	22|5	-	-	-	-	-
-	Futura	-	proper	10	-	-	-	-	-
-	Garamond	-	proper	5	-	-	-	-	-
-	Georgia	-	proper	12	-	-	-	-	-
-	Gill Sans	-	proper	5	-	-	-	-	-
-	Gotham	-	proper	5	-	-	-	-	-
-	Helvetica	-	proper	9	-	-	-	-	-
-	Montserrat	-	proper	22|5	-	-	-	-	-
-	Rockwell	-	proper	5	-	-	-	-	-
-	Times	-	proper	39	-	-	-	-	-
-	Times New Roman	-	proper	6	-	-	-	-	-
