-	ARPA	-	proper	8B	-	-	-	-	-
-	ARPANET	-	proper	5B	-	-	-	-	-
-	Acetium	-	proper	5	-	-	-	-	-
-	Akhilles	-	proper	41|†39	-	-	-	-	-
-	Akhilleus	-	proper	39	-	-	-	-	-
-	Akilles	-	proper	41|†39	-	-	-	-	-
-	Akilleus	-	proper	39	-	-	-	-	-
-	Ash	-	proper	5	-	-	-	-	-
-	Ava	-	proper	9	-	-	-	-	-
-	Axilur	-	proper	5	-	-	-	-	-
-	Azazel	-	proper	5	-	-	-	-	-
-	Barca	-	proper	9	-	-	-	-	-
-	Ba’ath	-	proper	5	-	-	-	-	-
-	Bebina	-	proper	13	-	-	-	-	-
-	Beng	-	proper	5	-	-	-	-	-
-	Billnäs	-	proper	39	-	-	-	-	-
-	Blick	-	proper	5	-	-	-	-	-
-	Boširov	-	proper	5	-	-	-	-	-
-	Buster	-	proper	6	-	-	-	-	-
-	Canini	-	proper	6	-	-	-	-	-
-	Cena	-	proper	9	-	-	-	-	-
-	Chafak	-	proper	5	-	-	-	-	-
-	Champaign	-	proper	5	-	-	-	-	-
-	Chantelle	-	proper	8	-	-	-	-	-
-	Chapel	-	proper	6	-	-	-	-	-
-	Civas	-	proper	5	-	-	-	-	-
-	CoC	-	proper	18B	-	-	-	-	-
-	DS	-	proper	10B	-	-	-	-	-
-	Darth	-	proper	5	-	-	-	-	-
-	Decepticon	-	proper	5	-	-	-	-	-
-	Defendo	-	proper	1	-	-	-	-	-
-	Demari	-	proper	?6	-	-	-	slang	-
-	Deprakine	-	proper	8	-	-	-	-	-
-	Detsku	-	proper	1	-	-	-	slang	-
-	Dhabi	-	proper	5	-	-	-	-	-
-	Disneyworld	-	proper	5	-	-	-	-	-
-	Divinyls	-	proper	5	-	-	-	-	-
-	Draghi	-	proper	5	-	-	-	-	-
-	Duact	-	proper	5	-	-	-	-	-
-	ETA	-	proper	18B	-	-	-	-	-
-	ETY	-	proper	?18B	-	-	-	-	-
-	Elohim	-	proper	5	-	-	-	-	-
-	Erkan	-	proper	?6	-	-	-	-	-
-	Estelle	-	proper	8	-	-	-	-	-
-	Eurodac	-	proper	5	-	-	-	-	-
-	Evesa	-	proper	9	-	-	-	-	-
-	Evian	-	proper	5	-	-	-	-	-
-	Explorius	-	proper	39	-	-	-	-	-
-	FARC	-	proper	5B	-	-	-	-	-
-	Fagur	-	proper	6	-	-	-	-	-
-	Faikku	-	proper	1	kk:k	-	-	slang	-
-	Fairy	-	proper	1	-	front|back	-	-	-
-	Faso	-	proper	1	-	-	-	-	-
-	Feng	-	proper	5	-	-	-	-	-
-	Fennica	-	proper	9	-	-	-	-	-
-	Fettucine	-	proper	8	-	-	-	-	-
-	Fimlab	-	proper	5	-	-	-	-	-
-	Finski	-	proper	5	-	-	-	-	-
-	Fitness24	-	proper	8B	-	-	-	-	-
-	Fitnord	-	proper	5	-	-	-	-	-
-	Fixura	-	proper	10	-	-	-	-	-
-	Flagyl	-	proper	5	-	-	-	-	-
-	Fluxio	-	proper	3	-	-	-	-	-
-	FreeLotto	-	proper	1	-	-	-	-	-
-	Funet	-	proper	5	-	-	-	-	-
-	GUE	-	proper	?18B	-	-	-	-	-
-	Gamo	-	proper	1	-	-	-	-	-
-	Gangnam	-	proper	5	-	-	-	-	-
-	Gemini	-	proper	5	-	-	-	-	-
-	Grani	-	proper	5	-	-	-	slang	-
-	HVK	-	proper	?18B	-	-	-	-	-
-	Haaretz	-	proper	5	-	-	-	-	-
-	Habita	-	proper	9	-	-	-	-	-
-	Halen	-	proper	5	-	-	-	-	-
-	Haso	-	proper	1	-	-	-	-	-
-	HeliCom	-	proper	5	-	-	-	-	-
-	Herccu	-	proper	1	-	-	-	slang	-
-	Herkku	-	proper	1	kk:k	-	-	-	-
-	Hesy	-	proper	1	-	-	-	-	-
-	Hokutoryu	-	proper	1	-	-	-	-	-
-	Hopman	-	proper	5	-	-	-	-	-
-	IRC	-	proper	5B	-	-	-	-	-
-	ISA	-	proper	18B	-	-	-	-	-
-	Ideko	-	proper	1	-	-	-	-	-
-	Ilmestyskirja. Nyt.	-	proper	!	-	-	-	-	-
-	Infotel	-	proper	5	-	-	-	-	-
-	InterCity	-	proper	1	-	-	-	-	-
-	Interreg	-	proper	5	-	-	-	-	-
-	Ipa	-	proper	9	-	-	-	-	-
-	Janni	-	proper	5	-	-	-	-	-
-	Jape	-	proper	8	-	-	-	-	-
-	Jardiance	-	proper	8	-	-	-	-	-
-	Jeda	-	proper	9	-	-	-	slang	-
-	Jeppis	-	proper	39	-	-	-	slang	-
-	Jetta	-	proper	9	-	-	-	-	-
-	Jopera	-	proper	13	-	-	-	-	-
-	Kaivari	-	proper	?6	-	-	-	slang	-
-	Kantis	-	proper	39	-	-	-	slang	-
-	Kantsu	-	proper	1	-	-	-	slang	-
-	Kap	-	proper	5	-	-	-	-	-
-	Kap Horn	-	proper	5	-	-	-	-	-
-	Kartalin	-	proper	5	-	-	-	-	-
-	Kastor	-	proper	5	-	-	-	-	-
-	Kavanaugh	-	proper	5	-	-	-	-	-
-	Kempo	-	proper	1	-	-	-	-	-
-	Keppra	-	proper	9	-	-	-	-	-
-	Kiara	-	proper	9	-	-	-	-	-
-	Kroatsia	-	proper	12	-	-	-	arch	-
-	Kuciak	-	proper	5	-	-	-	-	-
-	Kärtsä	-	proper	10	-	-	-	slang	-
-	Kökkeli	-	proper	?6	-	-	-	slang	-
-	Lapti	-	proper	5	-	-	-	-	-
-	Latz	-	proper	5	-	-	-	-	-
-	Leafs	-	proper	5	-	-	-	-	-
-	Lepuski	-	proper	5	-	-	-	slang	-
-	Linguine	-	proper	8	-	-	-	-	-
-	Lintsi	-	proper	5	-	-	-	slang	-
-	Losi	-	proper	5	-	-	-	slang	-
-	Lostari	-	proper	?6	-	-	-	slang	-
-	Lostis	-	proper	39	-	-	-	slang	-
-	Lucille	-	proper	8	-	-	-	-	-
-	Lyoness	-	proper	5	-	-	-	-	-
-	M/S	-	proper	?10B	-	-	-	-	-
-	MH	-	proper	?18B	-	-	-	-	-
-	Maikkari	-	proper	?6	-	-	-	slang	-
-	Maltsu	-	proper	1	-	-	-	slang	-
-	Mama	-	proper	9	-	-	-	-	-
-	Mans	-	proper	5	-	-	-	-	-
-	Manssi	-	proper	5	-	-	-	slang	-
-	Mariskooli	-	proper	5	-	-	-	-	-
-	Marke	-	proper	8	-	-	-	-	-
-	Megazord	-	proper	5	-	-	-	-	-
-	Meikku	-	proper	1	kk:k	-	-	slang	-
-	Mello	-	proper	1	-	-	-	-	-
-	Mercury	-	proper	1	-	-	-	-	-
-	Metforem	-	proper	5	-	-	-	-	-
-	Metris	-	proper	39	-	-	-	slang	-
-	Metsis	-	proper	39	-	-	-	slang	-
-	Mirena	-	proper	13	-	-	-	-	-
-	Mitrovica	-	proper	9	-	-	-	-	-
-	Mixu	-	proper	1	-	-	-	-	-
-	Mixula	-	proper	12	-	-	-	-	-
-	Moktar	-	proper	6	-	-	-	-	-
-	Mounjaro	-	proper	2	-	-	-	-	-
-	Mufareh	-	proper	5|22	-	-	-	-	-
-	Munkka	-	proper	10	kk:k	-	-	slang	-
-	Mysimba	-	proper	9	-	-	-	-	-
-	NSFNet	-	proper	5	-	-	-	-	-
-	Narvi	-	proper	5	-	-	-	-	-
-	Natura	-	proper	10	-	-	-	-	-
-	Newsec	-	proper	5	-	-	-	-	-
-	Niittari	-	proper	?6	-	-	-	-	-
-	Noblessa	-	proper	9	-	-	-	-	-
-	Nordrhein	-	proper	5	-	-	-	-	-
-	Nordstream	-	proper	5	-	-	-	-	-
-	Nutrilett	-	proper	5	-	-	-	-	-
-	Nöff	-	proper	5	-	-	-	-	-
-	OLAF	-	proper	5B	-	-	-	-	-
-	Ogeli	-	proper	6	-	-	-	-	-
-	Onpassive	-	proper	8	-	-	-	-	-
-	Orton	-	proper	6	-	-	-	-	-
-	Ovestin	-	proper	33	-	-	-	-	-
-	Oxiklorin	-	proper	5	-	-	-	-	-
-	PEAB	-	proper	5B	-	-	-	-	-
-	Paff	-	proper	5	-	-	-	-	-
-	Piper	-	proper	6	-	-	-	-	-
-	Pique	-	proper	8|21	-	-	-	-	-
-	Pitsku	-	proper	1	-	-	-	slang	-
-	Pokerstars	-	proper	5	-	-	-	-	-
-	Portsu	-	proper	1	-	-	-	slang	-
-	Preeco	-	proper	1	-	-	-	-	-
-	Primaspan	-	proper	5	-	-	-	-	-
-	Primera	-	proper	13	-	-	-	-	-
-	Puerto Rico	-	proper	1	-	-	-	-	-
-	Purina	-	proper	13	-	-	-	-	-
-	Pyrvin	-	proper	5	-	-	-	-	-
-	Raffl	-	proper	5	-	-	-	-	-
-	Raksystems	-	proper	5	-	-	-	-	-
-	Rautis	-	proper	39	-	-	-	slang	-
-	Rhode	-	proper	8	-	-	-	-	-
-	Riksu	-	proper	1	-	-	-	slang	-
-	Rocher	-	proper	22|6	-	-	-	-	-
-	Rosette	-	proper	8	-	-	-	-	-
-	Ruohis	-	proper	39	-	-	-	slang	-
-	Sato	-	proper	1	-	-	-	-	-
-	Scapa	-	proper	9	-	-	-	-	-
-	Shirly	-	proper	1	-	-	-	-	-
-	Sikla	-	proper	9	-	-	-	-	-
-	Snowscoot	-	proper	5	-	-	-	-	-
-	Soomes	-	proper	39	-	-	-	-	-
-	Sputnik	-	proper	5	-	-	-	-	-
-	Steel	-	proper	5	-	-	-	-	-
-	Suokki	-	proper	5	kk:k	-	-	slang	-
-	Superbowl	-	proper	5	-	-	-	-	-
-	Sörkka	-	proper	10	kk:k	-	-	slang	-
-	TSE	-	proper	?18B	-	-	-	-	-
-	Tagliatelle	-	proper	8	-	-	-	-	-
-	Talc	-	proper	5	-	-	-	-	-
-	Tapsa	-	proper	9	-	-	-	-	-
-	Tecfidera	-	proper	9	-	-	-	-	-
-	Tellukka	-	proper	14	kk:k	-	-	-	-
-	Tempur	-	proper	6	-	-	-	-	-
-	Tenan	-	proper	6	-	-	-	-	-
-	Teperi	-	proper	?6	-	-	-	-	-
-	Thibaut	-	proper	?5|22	-	-	-	-	-
-	Tiileri	-	proper	6	-	-	-	-	-
-	Tiitu	-	proper	1	-	-	-	-	-
-	Tikis	-	proper	39	-	-	-	-	-
-	Tikkis	-	proper	39	-	-	-	-	-
-	Tohatsu	-	proper	1	-	-	-	-	-
-	Toujeo	-	proper	3	-	-	-	-	-
-	Tsetsenia	-	proper	12	-	-	-	alternative	1.000
-	Tshetshenia	-	proper	12	-	-	-	alternative	1.000
-	Tyrazol	-	proper	5	-	-	-	-	-
-	Tšepiga	-	proper	9	-	-	-	-	-
-	USDA	-	proper	18B	-	-	-	-	-
-	Unicafe	-	proper	8	-	-	-	-	-
-	Unicredit	-	proper	5	-	-	-	-	-
-	Urgell	-	proper	5	-	-	-	-	-
-	Vader	-	proper	5	-	-	-	-	-
-	Vellu	-	proper	1	-	-	-	-	-
-	Vermox	-	proper	5	-	-	-	-	-
-	Verts/ALE	-	proper	8B	-	-	-	-	-
-	Viva	-	proper	9	-	-	-	-	-
-	Vuokki	-	proper	5	kk:k	-	-	slang	-
-	Värtinen	-	proper	38	-	-	-	-	-
-	Weathers	-	proper	5	-	-	-	-	-
-	Wegovy	-	proper	1	-	-	-	-	-
-	Wing	-	proper	5	-	-	-	-	-
-	Xanadu	-	proper	1	-	-	-	-	-
-	Yango	-	proper	1	-	-	-	-	-
-	Zilpa	-	proper	9	-	-	-	-	-
-	Zoely	-	proper	1	-	front|back	-	-	-
-	Zord	-	proper	5	-	-	-	-	-
-	face	-	proper	8	-	-	-	coll	-
-	iHerb	-	proper	5	-	-	-	-	-
-	mese	-	proper	8	-	-	-	coll	-
-	Eurooppa-neuvosto	-	proper	1	-	-	-	-	-
-	Fi-Nergy	-	proper	1	-	-	-	-	-
-	S-Testo	-	proper	1	-	-	-	-	-
-	Y-säätiö	-	proper	3	-	-	-	-	-
-	Antti|koski	-	proper	7	-	-	-	-	-
-	Hämähäkki|mies	-	proper	42	-	-	-	-	-
-	Jääkäri|merkki	-	proper	5	kk:k	-	-	-	-
-	Karjalan|kannas	-	proper	39	-	-	-	-	-
-	Kasi|tie	-	proper	19	-	-	-	-	-
-	Kulttuuri|cocktail	-	proper	5	-	-	-	-	-
-	Niska|vuori	-	proper	26	-	-	-	-	-
-	Rahoitus|tarkastus	-	proper	39	-	-	-	-	-
-	Sauna|lahti	-	proper	5	t:d	-	-	-	-
-	Öljy|mäki	-	proper	7	k:	-	-	-	-
-	Arvo-osuus|yhdistys	-	proper	39	-	-	-	-	-
-	Jalka|väki|rykmentti	-	proper	5	tt:t	-	-	-	-
-	Afgat	-	proper-pl	9	-	-	-	slang	-
-	Jugot	-	proper-pl	1	-	-	-	slang	-
-	Marshallit	-	proper-pl	5	-	-	-	-	-
-	Marshall|saaret	-	proper-pl	26	-	-	-	-	-
Cap	backa	-	proper	9	-	-	-	-	4.000
Cap	blom	-	proper	5	-	-	-	-	4.000
Cap	bäck	-	proper	5	-	-	-	-	4.000
Cap	dahl	-	proper	5	-	-	-	-	4.000
Cap	dt	-	proper	5	-	-	-	-	5.000
Cap	eaux	-	proper	5	-	-	-	-	4.000
Cap	feldt	-	proper	5	-	-	-	-	4.000
Cap	felt	-	proper	5	-	-	-	-	4.000
Cap	fors	-	proper	5	-	-	-	-	4.000
Cap	gren	-	proper	5	-	-	-	-	4.000
Cap	gård	-	proper	5	-	back	-	-	4.000
Cap	hamn	-	proper	5	-	-	-	-	4.000
Cap	holm	-	proper	5	-	-	-	-	4.000
Cap	land	-	proper	5	-	-	-	-	4.000
Cap	lander	-	proper	6	-	-	-	-	4.000
Cap	lund	-	proper	5	-	-	-	-	4.000
Cap	löf	-	proper	5	-	-	-	-	4.000
Cap	löv	-	proper	5	-	-	-	-	4.000
Cap	löw	-	proper	5	-	-	-	-	4.000
Cap	näs	-	proper	5	-	-	-	-	4.000
Cap	roos	-	proper	5	-	-	-	-	4.000
Cap	roth	-	proper	5	-	-	-	-	4.000
Cap	sby	-	proper	21	-	-	-	-	4.000
Cap	skog	-	proper	5	-	-	-	-	4.000
Cap	stedt	-	proper	5	-	-	-	-	4.000
Cap	sten	-	proper	5	-	-	-	-	10.000
Cap	strand	-	proper	5	-	-	-	-	4.000
Cap	ström	-	proper	5	-	-	-	-	4.000
Cap	svik	-	proper	5	-	-	-	-	4.000
Cap	udd	-	proper	5	-	-	-	-	4.000
Cap	vall	-	proper	5	-	-	-	-	4.000
Cap	wark	-	proper	5	-	-	-	-	4.000
Cap	well	-	proper	5	-	-	-	-	4.000
Cap	å	-	proper	21	-	back	o	-	4.000
Cap	n|maa	-	proper	18	-	-	-	-	4.000
