-	aakkosellinen	-	adjective	38	-	back	-	-	-
-	aalloittainen	-	adjective	38	-	back	-	-	-
-	aallokas	-	adjective	41	kk:k	back	-	-	-
-	aaltoileva	-	adjective	10	-	-	-	-	-
-	aaltomainen	-	adjective	38	-	back	-	-	-
-	aamuinen	-	adjective	38	-	back	-	-	-
-	aamullinen	-	adjective	38	-	back	-	-	-
-	aasialainen	-	adjective	38	-	back	-	-	-
-	aasimainen	-	adjective	38	-	back	-	-	-
-	aatelinen	-	adjective	38	-	back	-	-	-
-	aateliton	-	adjective	34	tt:t	-	-	-	-
-	aatteellinen	-	adjective	38	-	back	-	-	-
-	aava	-	adjective	9	-	back	-	-	-
-	aavemainen	-	adjective	38	-	back	-	-	-
-	aavistamaton	-	adjective	34	tt:t	back	-	-	-
-	abdominaalinen	-	adjective	38	-	-	-	-	-
-	aberrantti	-	adjective	5	tt:t	-	-	-	-
-	abhasialainen	-	adjective	38	-	-	-	-	-
-	abidjanilainen	-	adjective	38	-	-	-	-	-
-	abioottinen	-	adjective	38	-	-	-	-	-
-	abnormi	-	adjective	5	-	back	-	-	-
-	absoluuttinen	-	adjective	38	-	back	-	-	-
-	abstrakti	-	adjective	5	-	back	-	-	-
-	abstraktinen	-	adjective	38	-	back	-	-	-
-	absurdi	-	adjective	5	-	back	-	-	-
-	abujalainen	-	adjective	38	-	-	-	-	-
-	abuulinen	-	adjective	38	-	-	-	-	-
-	accralainen	-	adjective	38	-	-	-	-	-
-	adaptiivinen	-	adjective	38	-	back	-	-	-
-	addiktiivinen	-	adjective	38	-	back	-	-	-
-	addiktoiva	-	adjective	10	-	-	-	-	-
-	additiivinen	-	adjective	38	-	-	-	-	-
-	adekvaatti	-	adjective	5	tt:t	back	-	-	-
-	adenomatoottinen	-	adjective	38	-	-	-	-	-
-	adiabaattinen	-	adjective	38	-	-	-	-	-
-	adjektiivinen	-	adjective	38	-	back	-	-	-
-	administratiivinen	-	adjective	38	-	-	-	-	-
-	adrenerginen	-	adjective	38	-	-	-	-	-
-	adverbiaalinen	-	adjective	38	-	back	-	-	-
-	adverbinen	-	adjective	38	-	front|back	-	-	-
-	adversatiivinen	-	adjective	38	-	back	-	-	-
-	aerobinen	-	adjective	38	-	back	-	-	-
-	aerofiilinen	-	adjective	38	-	front|back	-	-	-
-	aerofobinen	-	adjective	38	-	-	-	-	-
-	afaasinen	-	adjective	38	-	-	-	-	-
-	afaattinen	-	adjective	38	-	back	-	-	-
-	affektiivinen	-	adjective	38	-	back	-	-	-
-	affektinen	-	adjective	38	-	back	-	-	-
-	afferentti	-	adjective	5	tt:t	-	-	-	-
-	afganistanilainen	-	adjective	38	-	back	-	-	-
-	aforistinen	-	adjective	38	-	back	-	-	-
-	afrikkalainen	-	adjective	38	-	back	-	-	-
-	aggressiivinen	-	adjective	38	-	back	-	-	-
-	agitatorinen	-	adjective	38	-	back	-	-	-
-	agnostinen	-	adjective	38	-	back	-	-	-
-	agonistinen	-	adjective	38	-	-	-	-	-
-	agraarinen	-	adjective	38	-	back	-	-	-
-	ahdas	-	adjective	41	t:d	back	-	-	-
-	ahdistava	-	adjective	10	-	-	-	-	-
-	ahdistunut	-	adjective	47	-	back	-	-	-
-	ahkera	-	adjective	10	-	back	-	-	-
-	ahlaislainen	-	adjective	38	-	-	-	-	-
-	ahnas	-	adjective	41	-	back	-	-	-
-	ahne	-	adjective	48	-	back	-	-	-
-	aiempi	-	adjective	16	mp:mm	back	-	non-comparable	-
-	aiheellinen	-	adjective	38	-	back	-	-	-
-	aiheeton	-	adjective	34	tt:t	back	-	-	-
-	aika	-	adjective	!	-	back	-	-	-
-	aikainen	-	adjective	38	-	back	-	+poss	-
-	aikaisempi	-	adjective	16	mp:mm	-	-	non-comparable	-
-	aikava	-	adjective	10	-	back	-	-	-
-	aikuinen	-	adjective	38	-	back	-	-	-
-	aikuismainen	-	adjective	38	-	back	-	-	-
-	aimo	-	adjective	!	-	back	-	-	-
-	ainainen	-	adjective	38	-	back	-	-	-
-	aineellinen	-	adjective	38	-	back	-	-	-
-	aineeton	-	adjective	34	tt:t	back	-	-	-
-	ainoa	-	adjective	15	-	back	-	-	-
-	ainokainen	-	adjective	38	-	back	-	-	-
-	aistikas	-	adjective	41	kk:k	back	-	-	-
-	aistillinen	-	adjective	38	-	back	-	-	-
-	aito	-	adjective	1	t:d	back	-	-	-
-	aivoton	-	adjective	34	tt:t	back	-	-	-
-	ajallinen	-	adjective	38	-	back	-	-	-
-	ajaton	-	adjective	34	tt:t	back	-	-	-
-	ajattelematon	-	adjective	34	tt:t	back	-	-	-
-	ajatuksekas	-	adjective	41	kk:k	back	-	-	-
-	ajatuksellinen	-	adjective	38	-	back	-	-	-
-	ajatukseton	-	adjective	34	tt:t	back	-	-	-
-	ajoittainen	-	adjective	38	-	back	-	-	-
-	akaalainen	-	adjective	38	-	-	-	-	-
-	akallinen	-	adjective	38	-	back	-	jocul	-
-	akantoottinen	-	adjective	38	-	-	-	-	-
-	akateeminen	-	adjective	38	-	back	-	-	-
-	akineettinen	-	adjective	38	-	-	-	-	-
-	akkamainen	-	adjective	38	-	back	-	-	-
-	akkumulatiivinen	-	adjective	38	-	-	-	-	-
-	akmolalainen	-	adjective	38	-	-	-	-	-
-	akraalinen	-	adjective	38	-	-	-	-	-
-	akrobaattinen	-	adjective	38	-	-	-	-	-
-	akroninen	-	adjective	38	-	-	-	-	-
-	aksiaalinen	-	adjective	38	-	back	-	-	-
-	aksiomaattinen	-	adjective	38	-	back	-	-	-
-	aktiivi	-	adjective	5	-	back	-	-	-
-	aktiivinen	-	adjective	38	-	back	-	-	-
-	aktuaali	-	adjective	5	-	-	-	-	-
-	aktuaalinen	-	adjective	38	-	back	-	-	-
-	aktuelli	-	adjective	5	-	back	-	-	-
-	akustinen	-	adjective	38	-	back	-	-	-
-	akuutti	-	adjective	5	tt:t	back	-	-	-
-	akuuttinen	-	adjective	38	-	back	-	-	-
-	akvinolainen	-	adjective	38	-	-	-	-	-
-	alainen	-	adjective	38	-	back	-	-	-
-	alakkainen	-	adjective	38	-	back	-	-	-
-	alamainen	-	adjective	38	-	back	-	-	-
-	alastarolainen	-	adjective	38	-	-	-	-	-
-	alaston	-	adjective	34	-	back	-	-	-
-	alava	-	adjective	10	-	back	-	-	-
-	alavutelainen	-	adjective	38	-	-	-	-	-
-	albanialainen	-	adjective	38	-	back	-	-	-
-	aleksandrialainen	-	adjective	38	-	-	-	-	-
-	aleksityyminen	-	adjective	38	-	front|back	-	-	-
-	alempi	-	adjective	16	mp:mm	back	-	+poss|non-comparable	-
-	aleneva	-	adjective	10	-	back	-	-	-
-	alentava	-	adjective	10	-	back	-	-	-
-	alentuva	-	adjective	10	-	back	-	-	-
-	alentuvainen	-	adjective	38	-	back	-	-	-
-	algebrallinen	-	adjective	38	-	back	-	-	-
-	algerialainen	-	adjective	38	-	-	-	-	-
-	algerilainen	-	adjective	38	-	-	-	-	-
-	alhainen	-	adjective	38	-	back	-	-	-
-	alimmainen	-	adjective	38	-	back	-	-	-
-	alin	-	adjective	36	-	back	-	non-comparable	-
-	alinen	-	adjective	38	-	back	-	rare	-
-	alisteinen	-	adjective	38	-	back	-	-	-
-	alistuva	-	adjective	10	-	back	-	-	-
-	alistuvainen	-	adjective	38	-	back	-	-	-
-	alituinen	-	adjective	38	-	back	-	-	-
-	alkalinen	-	adjective	38	-	back	-	-	-
-	alkeellinen	-	adjective	38	-	back	-	-	-
-	alkemistinen	-	adjective	38	-	-	-	-	-
-	alkiolainen	-	adjective	38	-	back	-	-	-
-	alkoholiton	-	adjective	34	tt:t	back	-	-	-
-	allegorinen	-	adjective	38	-	back	-	-	-
-	allekkainen	-	adjective	38	-	back	-	-	-
-	allergeeninen	-	adjective	38	-	front|back	-	-	-
-	allerginen	-	adjective	38	-	back	-	-	-
-	allistinen	-	adjective	38	-	-	-	-	-
-	allosteerinen	-	adjective	38	-	-	-	-	-
-	alluviaalinen	-	adjective	38	-	-	-	-	-
-	aloittainen	-	adjective	38	-	back	-	-	-
-	aloittamaton	-	adjective	34	tt:t	back	-	-	-
-	aloitteellinen	-	adjective	38	-	back	-	-	-
-	aloitteikas	-	adjective	41	kk:k	back	-	-	-
-	alokasmainen	-	adjective	38	-	back	-	-	-
-	alpakkainen	-	adjective	38	-	back	-	-	-
-	alpiininen	-	adjective	38	-	back	-	-	-
-	alsacelainen	-	adjective	38	-	-	-	-	-
-	alternatiivinen	-	adjective	38	-	-	-	-	-
-	altis	-	adjective	41	tt:t	back	-	-	-
-	altruistinen	-	adjective	38	-	back	-	-	-
-	alueellinen	-	adjective	38	-	back	-	-	-
-	alueittainen	-	adjective	38	-	back	-	-	-
-	alumiininen	-	adjective	38	-	back	-	-	-
-	alustava	-	adjective	10	-	back	-	-	-
-	alviton	-	adjective	34	tt:t	-	-	-	-
-	amatöörimäinen	-	adjective	38	-	front	-	-	-
-	ambidekstrinen	-	adjective	38	-	-	-	-	-
-	ambiofoninen	-	adjective	38	-	back	-	-	-
-	ambivalentti	-	adjective	5	tt:t	back	-	-	-
-	ambivalenttinen	-	adjective	38	-	back	-	-	-
-	amblyogeeninen	-	adjective	38	-	front|back	-	-	-
-	amerikkalainen	-	adjective	38	-	back	-	-	-
-	amfibinen	-	adjective	38	-	-	-	-	-
-	ammanilainen	-	adjective	38	-	-	-	-	-
-	ammateittainen	-	adjective	38	-	back	-	-	-
-	ammatillinen	-	adjective	38	-	back	-	-	-
-	ammattimainen	-	adjective	38	-	back	-	-	-
-	ammoinen	-	adjective	38	-	back	-	poet	-
-	amoraalinen	-	adjective	38	-	-	-	-	-
-	amorfinen	-	adjective	38	-	back	-	-	-
-	amsterdamilainen	-	adjective	38	-	-	-	-	-
-	amyotrofinen	-	adjective	38	-	-	-	-	-
-	anaalinen	-	adjective	38	-	back	-	-	-
-	anabolinen	-	adjective	38	-	back	-	-	-
-	anaerobinen	-	adjective	38	-	-	-	-	-
-	anaforinen	-	adjective	38	-	-	-	-	-
-	anafylaktinen	-	adjective	38	-	back	-	-	-
-	anakoluuttinen	-	adjective	38	-	back	-	-	-
-	anakronistinen	-	adjective	38	-	back	-	-	-
-	analfabeetti	-	adjective	5	tt:t	-	-	-	-
-	analgeettinen	-	adjective	38	-	back	-	-	-
-	analoginen	-	adjective	38	-	back	-	-	-
-	analyyttinen	-	adjective	38	-	front|back	-	-	-
-	anamnestinen	-	adjective	38	-	back	-	-	-
-	anaplastinen	-	adjective	38	-	-	-	-	-
-	anarkistinen	-	adjective	38	-	back	-	-	-
-	anatominen	-	adjective	38	-	back	-	-	-
-	andorralainen	-	adjective	38	-	-	-	-	-
-	androgeeninen	-	adjective	38	-	front|back	-	-	-
-	androgyyninen	-	adjective	38	-	front|back	-	-	-
-	androidinen	-	adjective	38	-	-	-	-	-
-	androloginen	-	adjective	38	-	back	-	-	-
-	aneeminen	-	adjective	38	-	back	-	-	-
-	anesteettinen	-	adjective	38	-	-	-	-	-
-	anestesiologinen	-	adjective	38	-	back	-	-	-
-	anglikaaninen	-	adjective	38	-	back	-	-	-
-	angolalainen	-	adjective	38	-	-	-	-	-
-	animaalinen	-	adjective	38	-	back	-	-	-
-	animistinen	-	adjective	38	-	back	-	-	-
-	anisokroninen	-	adjective	38	-	-	-	-	-
-	anisotrooppinen	-	adjective	38	-	-	-	-	-
-	anjalainen	-	adjective	38	-	-	-	-	-
-	anjalalainen	-	adjective	38	-	-	-	-	-
-	ankara	-	adjective	10	-	back	-	-	-
-	ankaralainen	-	adjective	38	-	-	-	-	-
-	ankea	-	adjective	15	-	back	-	-	-
-	ankyloiva	-	adjective	10	-	-	-	-	-
-	annuaalinen	-	adjective	38	-	-	-	-	-
-	anomaalinen	-	adjective	38	-	back	-	-	-
-	anonyymi	-	adjective	5	-	front|back	-	-	-
-	anoreksigeeninen	-	adjective	38	-	front|back	-	-	-
-	anorektaalinen	-	adjective	38	-	-	-	-	-
-	anorektinen	-	adjective	38	-	back	-	-	-
